id,level,projected_hour,x,y,value,category,area,element,reference_year,reference_month,reference_day,reference_hour,reference_minute,ville
1,0-SFC,0.5,984,336,0.08,ndfd,conus,qpf,2017,6,26,23,30,Austin 
2,0-SFC,0.5,984,336,0.0,ndfd,conus,snow,2017,6,21,23,30,Austin 
3,0-SFC,0.5,984,336,0.0,ndfd,conus,qpf,2017,6,18,17,30,Austin 
4,0-SFC,0.5,984,336,0.0,ndfd,conus,qpf,2017,6,15,17,30,Austin 
5,0-SFC,0.5,984,336,0.0,ndfd,conus,qpf,2017,6,24,5,30,Austin 
6,0-SFC,0.5,984,336,0.09,ndfd,conus,qpf,2017,6,27,23,30,Austin 
7,0-SFC,0.5,984,336,0.972,ndfd,conus,wspd,2017,6,1,9,30,Austin 
8,0-SFC,0.5,984,336,6.998,ndfd,conus,wspd,2017,6,17,7,30,Austin 
9,0-SFC,0.5,984,336,0.0,ndfd,conus,qpf,2017,6,14,11,30,Austin 
10,0-SFC,0.5,984,336,2.916,ndfd,conus,wspd,2017,6,24,12,30,Austin 
11,0-SFC,0.5,984,336,0.0,ndfd,conus,snow,2017,6,24,23,30,Austin 
12,0-SFC,0.5,984,336,0.0,ndfd,conus,snow,2017,6,12,5,30,Austin 
13,0-SFC,0.5,984,336,6.026,ndfd,conus,wspd,2017,6,14,6,30,Austin 
14,0-SFC,0.5,984,336,1.944,ndfd,conus,wspd,2017,6,1,4,30,Austin 
15,0-SFC,0.5,984,336,76.91,ndfd,conus,temp,2017,6,29,5,30,Austin 
16,0-SFC,0.5,984,336,8.942,ndfd,conus,wspd,2017,6,17,15,30,Austin 
17,0-SFC,0.5,984,336,0.0,ndfd,conus,snow,2017,6,5,17,30,Austin 
18,0-SFC,0.5,984,336,0.0,ndfd,conus,snow,2017,6,7,17,30,Austin 
19,0-SFC,0.5,984,336,8.942,ndfd,conus,wspd,2017,6,14,20,30,Austin 
20,0-SFC,0.5,984,336,81.05,ndfd,conus,temp,2017,6,4,15,30,Austin 
21,0-SFC,0.5,984,336,94.91,ndfd,conus,temp,2017,6,14,21,30,Austin 
22,0-SFC,0.5,984,336,77.99,ndfd,conus,temp,2017,6,19,9,30,Austin 
23,0-SFC,0.5,984,336,0.972,ndfd,conus,wspd,2017,6,8,7,30,Austin 
24,0-SFC,0.5,984,336,9.914,ndfd,conus,wspd,2017,6,10,21,30,Austin 
25,0-SFC,0.5,984,336,7.97,ndfd,conus,wspd,2017,6,6,15,30,Austin 
26,0-SFC,0.5,984,336,90.95,ndfd,conus,temp,2017,6,7,22,30,Austin 
27,0-SFC,0.5,984,336,6.998,ndfd,conus,wspd,2017,6,9,16,30,Austin 
28,0-SFC,0.5,984,336,85.01,ndfd,conus,temp,2017,6,9,17,30,Austin 
29,0-SFC,0.5,984,336,0.0,ndfd,conus,snow,2017,6,28,17,30,Austin 
30,0-SFC,0.5,984,336,2.916,ndfd,conus,wspd,2017,6,20,7,30,Austin 
31,0-SFC,0.5,984,336,97.07,ndfd,conus,temp,2017,6,15,21,30,Austin 
32,0-SFC,0.5,984,336,4.082,ndfd,conus,wspd,2017,6,9,3,30,Austin 
33,0-SFC,0.5,984,336,0.0,ndfd,conus,qpf,2017,6,29,11,30,Austin 
34,0-SFC,0.5,984,336,8.942,ndfd,conus,wspd,2017,6,9,14,30,Austin 
35,0-SFC,0.5,984,336,86.99,ndfd,conus,temp,2017,6,25,20,30,Austin 
36,0-SFC,0.5,984,336,0.972,ndfd,conus,wspd,2017,6,5,7,30,Austin 
37,0-SFC,0.5,984,336,85.91,ndfd,conus,temp,2017,6,9,18,30,Austin 
38,0-SFC,0.5,984,336,7.97,ndfd,conus,wspd,2017,6,6,18,30,Austin 
39,0-SFC,0.5,984,336,0.0,ndfd,conus,qpf,2017,6,19,11,30,Austin 
